stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Leon\source\repos\JogoEmAllegro\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
dtor     D               dtor.c:196  _al_register_destructor          [   0.00071] added dtor for bitmap 0000022DEAFCC470, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00138] added dtor for bitmap 0000022DEAFE6190, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00499] added dtor for bitmap 0000022DEB0001F0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00515] added dtor for sub_bitmap 0000022DEB033A40, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00520] added dtor for sub_bitmap 0000022DEB033C30, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00523] added dtor for sub_bitmap 0000022DEB033E20, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00527] added dtor for sub_bitmap 0000022DEB034010, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00530] added dtor for sub_bitmap 0000022DEB034200, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00534] added dtor for sub_bitmap 0000022DEB0343F0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00537] added dtor for sub_bitmap 0000022DEB0345E0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00541] added dtor for sub_bitmap 0000022DEB0347D0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00544] added dtor for sub_bitmap 0000022DEB0349C0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00548] added dtor for sub_bitmap 0000022DEB034BB0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00551] added dtor for sub_bitmap 0000022DEB034DA0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00555] added dtor for sub_bitmap 0000022DEB034F90, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00558] added dtor for sub_bitmap 0000022DEB035180, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00562] added dtor for sub_bitmap 0000022DEB035370, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00566] added dtor for sub_bitmap 0000022DEB036340, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00570] added dtor for sub_bitmap 0000022DEB0355B0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00573] added dtor for sub_bitmap 0000022DEB0357A0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00577] added dtor for sub_bitmap 0000022DEB035B80, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00580] added dtor for sub_bitmap 0000022DEB035990, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00584] added dtor for sub_bitmap 0000022DEB035D70, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00595] added dtor for sub_bitmap 0000022DEB035F60, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00600] added dtor for sub_bitmap 0000022DEB036150, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00604] added dtor for sub_bitmap 0000022DEB036F70, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00608] added dtor for sub_bitmap 0000022DEB037920, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00612] added dtor for sub_bitmap 0000022DEB036B90, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00615] added dtor for sub_bitmap 0000022DEB037B10, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00618] added dtor for sub_bitmap 0000022DEB037160, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00622] added dtor for sub_bitmap 0000022DEB0369A0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00625] added dtor for sub_bitmap 0000022DEB037350, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00629] added dtor for sub_bitmap 0000022DEB037540, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00632] added dtor for sub_bitmap 0000022DEB0380E0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00636] added dtor for sub_bitmap 0000022DEB037730, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00640] added dtor for sub_bitmap 0000022DEB036D80, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00644] added dtor for sub_bitmap 0000022DEB037D00, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00647] added dtor for sub_bitmap 0000022DEB037EF0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00651] added dtor for sub_bitmap 0000022DEB0382D0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00654] added dtor for sub_bitmap 0000022DEB0365C0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00657] added dtor for sub_bitmap 0000022DEB0367B0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00662] added dtor for sub_bitmap 0000022DEB03B950, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00666] added dtor for sub_bitmap 0000022DEB03A5F0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00669] added dtor for sub_bitmap 0000022DEB03BF20, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00673] added dtor for sub_bitmap 0000022DEB03B760, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00676] added dtor for sub_bitmap 0000022DEB03BB40, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 0000022DEB03C110, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00683] added dtor for sub_bitmap 0000022DEB03B380, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00686] added dtor for sub_bitmap 0000022DEB03ADB0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00690] added dtor for sub_bitmap 0000022DEB03B190, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00694] added dtor for sub_bitmap 0000022DEB03A7E0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00697] added dtor for sub_bitmap 0000022DEB03AFA0, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00701] added dtor for sub_bitmap 0000022DEB03BD30, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00704] added dtor for sub_bitmap 0000022DEB03B570, func 00007FFCE150118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00708] added dtor for sub_bitmap 0000022DEB03C300, func 00007FFCE150118B
